t1=3,1,57,16,22,58,-2,2,-17,-18,17,38,-1,114,23,73,24,32,79,59,-16,42,40,156,39,12
t1=4,1,57,16,22,58,2,-2,-17,-18,17,38,-1,114,23,79,59,73,42,32,24,-16,40,39,156,12
t1=5,1,57,16,22,58,2,-2,-17,-18,17,-1,38,114,23,73,59,79,-16,32,40,42,24,156,39,130
t1=6,1,57,16,22,58,2,-2,-17,17,-18,-1,38,114,32,23,73,59,79,40,-16,24,42,39,156,-48
t1=8,1,57,16,22,2,58,-17,17,-18,-1,-2,38,114,23,32,73,-16,59,42,24,39,79,40,156,3
t1=24,1,57,16,22,2,58,-17,-18,-1,17,-2,38,114,23,42,59,24,-16,73,32,79,40,39,3,12
t1=48,1,57,16,22,2,58,-17,-18,-2,-1,38,114,23,17,42,59,-16,24,79,40,39,12,73,156,3
t1=168,1,57,16,22,2,58,-17,-18,-1,-2,38,17,23,114,42,24,59,-16,79,3,39,40,73,156,12
t1=336,1,57,16,22,2,58,-17,-18,-1,-2,38,17,23,114,42,24,-16,59,3,79,40,39,156,12,32
