"sample","time","biol.rep","mod","sum.mod","sum.unmod","sum.anymod","sum.unmod.for.mod","sum.anymod.for.mod","frac.mod.abs","frac.mod.rel","frac.anymod","odds.mod.other"
"MURI_16",3,"repeat 1","Nt_Ac42_pos12",82,69693,18955,90,109,0.000925006768342207,0.412060301507538,0.213823210901543,0.703389830508475
"MURI_16",3,"repeat 1","Nt_Ac42_pos2",82,69693,18955,90,109,0.000925006768342207,0.412060301507538,0.213823210901543,0.703389830508475
"MURI_16",3,"repeat 1","any_Ac42",112,69693,18955,114,165,0.00126342387871131,0.401433691756272,0.213823210901543,0.672619047619048
"MURI_17",4,"repeat 1","Nt_Ac42_pos12",80,72734,19953,90,111,0.000863119962885842,0.398009950248756,0.215272907743265,0.663934426229508
"MURI_17",4,"repeat 1","Nt_Ac42_pos2",80,72734,19953,90,111,0.000863119962885842,0.398009950248756,0.215272907743265,0.663934426229508
"MURI_17",4,"repeat 1","any_Ac42",105,72734,19953,136,153,0.00113284495128767,0.363321799307958,0.215272907743265,0.572972972972973
"MURI_18",5,"repeat 1","Nt_Ac42_pos12",82,70040,20287,85,105,0.00090781272487739,0.431578947368421,0.224595082312044,0.761467889908257
"MURI_18",5,"repeat 1","Nt_Ac42_pos2",82,70040,20287,85,105,0.00090781272487739,0.431578947368421,0.224595082312044,0.761467889908257
"MURI_18",5,"repeat 1","any_Ac42",98,70040,20287,105,140,0.00108494691509737,0.4,0.224595082312044,0.668918918918919
"MURI_19",6,"repeat 1","Nt_Ac42_pos12",71,69388,21715,63,94,0.000779337672744037,0.452229299363057,0.238356585403335,0.827586206896552
"MURI_19",6,"repeat 1","Nt_Ac42_pos2",71,69388,21715,63,94,0.000779337672744037,0.452229299363057,0.238356585403335,0.827586206896552
"MURI_19",6,"repeat 1","any_Ac42",88,69388,21715,84,131,0.000965939650725004,0.409302325581395,0.238356585403335,0.6953125
"MURI_20",8,"repeat 1","Nt_Ac42_pos12",116,72041,22931,98,162,0.0012214126268795,0.446153846153846,0.241450111611843,0.806896551724138
"MURI_20",8,"repeat 1","Nt_Ac42_pos2",116,72041,22931,98,162,0.0012214126268795,0.446153846153846,0.241450111611843,0.806896551724138
"MURI_20",8,"repeat 1","any_Ac42",137,72041,22931,117,204,0.00144253043002148,0.426791277258567,0.241450111611843,0.745945945945946
"MURI_21",24,"repeat 1","Nt_Ac42_pos12",151,73856,21914,110,187,0.00157669416309909,0.508417508417508,0.228819045630156,1.03401360544218
"MURI_21",24,"repeat 1","Nt_Ac42_pos2",147,73856,21914,93,181,0.00153492743030176,0.536496350364963,0.228819045630156,1.15625
"MURI_21",24,"repeat 1","any_Ac42",181,73856,21914,129,226,0.00188994465907904,0.509859154929577,0.228819045630156,1.04
"MURI_22",48,"repeat 1","Nt_Ac42_pos12",161,73997,19831,91,231,0.00171590569979111,0.5,0.211354819456879,1
"MURI_22",48,"repeat 1","Nt_Ac42_pos2",157,73997,19831,75,227,0.00167327450228077,0.519867549668874,0.211354819456879,1.08219178082192
"MURI_22",48,"repeat 1","any_Ac42",189,73997,19831,111,264,0.00201432408236347,0.504,0.211354819456879,1.01604278074866
"MURI_23",168,"repeat 1","Nt_Ac42_pos12",149,73205,20685,112,209,0.00158696346788795,0.46417445482866,0.22031100223666,0.867052023121387
"MURI_23",168,"repeat 1","Nt_Ac42_pos2",146,73205,20685,96,205,0.00155501118329961,0.485049833887043,0.22031100223666,0.942307692307692
"MURI_23",168,"repeat 1","any_Ac42",181,73205,20685,161,262,0.00192778783683033,0.42789598108747,0.22031100223666,0.748971193415638
"MURI_24",336,"repeat 1","Nt_Ac42_pos12",147,73341,20495,78,217,0.00156656293959674,0.498305084745763,0.218412975830172,0.993288590604027
"MURI_24",336,"repeat 1","Nt_Ac42_pos2",145,73341,20495,78,215,0.00154524915810563,0.494880546075085,0.218412975830172,0.979865771812081
"MURI_24",336,"repeat 1","any_Ac42",174,73341,20495,99,264,0.00185429898972676,0.479338842975207,0.218412975830172,0.921052631578947
"MURI_25",3,"repeat 2","Nt_Ac42_pos12",72,57788,18022,58,116,0.000949742777997626,0.413793103448276,0.237725893681572,0.70873786407767
"MURI_25",3,"repeat 2","Nt_Ac42_pos2",72,57788,18022,58,116,0.000949742777997626,0.413793103448276,0.237725893681572,0.70873786407767
"MURI_25",3,"repeat 2","any_Ac42",94,57788,18022,69,159,0.00123994196016357,0.412280701754386,0.237725893681572,0.703703703703704
"MURI_26",4,"repeat 2","Nt_Ac42_pos12",79,65517,23236,76,105,0.000890110756819488,0.43646408839779,0.261805234752628,0.776699029126214
"MURI_26",4,"repeat 2","Nt_Ac42_pos2",79,65517,23236,76,105,0.000890110756819488,0.43646408839779,0.261805234752628,0.776699029126214
"MURI_26",4,"repeat 2","any_Ac42",100,65517,23236,117,175,0.00112672247698669,0.342465753424658,0.261805234752628,0.523316062176166
"MURI_27",5,"repeat 2","Nt_Ac42_pos12",77,63169,21185,79,120,0.000912819783294213,0.386934673366834,0.251143988429713,0.634146341463415
"MURI_27",5,"repeat 2","Nt_Ac42_pos2",77,63169,21185,79,120,0.000912819783294213,0.386934673366834,0.251143988429713,0.634146341463415
"MURI_27",5,"repeat 2","any_Ac42",99,63169,21185,90,155,0.00117362543566399,0.404081632653061,0.251143988429713,0.680272108843537
"MURI_28",6,"repeat 2","Nt_Ac42_pos12",83,68595,22317,72,115,0.000912970784934882,0.443850267379679,0.245479144667371,0.8
"MURI_28",6,"repeat 2","Nt_Ac42_pos2",83,68595,22317,72,115,0.000912970784934882,0.443850267379679,0.245479144667371,0.8
"MURI_28",6,"repeat 2","any_Ac42",97,68595,22317,113,172,0.00106696585709257,0.340350877192982,0.245479144667371,0.518518518518518
"MURI_29",8,"repeat 2","Nt_Ac42_pos12",83,69949,23680,57,124,0.000886477480267866,0.458563535911602,0.252913093165579,0.848484848484849
"MURI_29",8,"repeat 2","Nt_Ac42_pos2",83,69949,23680,57,124,0.000886477480267866,0.458563535911602,0.252913093165579,0.848484848484849
"MURI_29",8,"repeat 2","any_Ac42",94,69949,23680,57,132,0.00100396244753228,0.497354497354497,0.252913093165579,0.989583333333333
"MURI_30",24,"repeat 2","Nt_Ac42_pos12",144,71680,23222,80,203,0.00151735474489473,0.508833922261484,0.244694526985733,1.03571428571429
"MURI_30",24,"repeat 2","Nt_Ac42_pos2",143,71680,23222,68,202,0.0015068175591663,0.52962962962963,0.244694526985733,1.125
"MURI_30",24,"repeat 2","any_Ac42",168,71680,23222,105,240,0.00177024720237719,0.48695652173913,0.244694526985733,0.949438202247191
"MURI_31",48,"repeat 2","Nt_Ac42_pos12",163,71886,21599,85,254,0.00174359522918115,0.480825958702065,0.231042413221372,0.926553672316384
"MURI_31",48,"repeat 2","Nt_Ac42_pos2",162,71886,21599,71,251,0.00173289832593464,0.503105590062112,0.231042413221372,1.01242236024845
"MURI_31",48,"repeat 2","any_Ac42",193,71886,21599,137,299,0.00206450232657646,0.442660550458716,0.231042413221372,0.795081967213115
"MURI_32",168,"repeat 2","Nt_Ac42_pos12",165,66388,20528,129,258,0.00189838464724562,0.426356589147287,0.236182060840352,0.744394618834081
"MURI_32",168,"repeat 2","Nt_Ac42_pos2",164,66388,20528,115,256,0.00188687928574716,0.442048517520216,0.236182060840352,0.793269230769231
"MURI_32",168,"repeat 2","any_Ac42",207,66388,20528,211,373,0.00238160983018086,0.354452054794521,0.236182060840352,0.55026455026455
"MURI_33",336,"repeat 2","Nt_Ac42_pos12",149,64075,19788,81,228,0.00177670724872709,0.482200647249191,0.235956261998736,0.93167701863354
"MURI_33",336,"repeat 2","Nt_Ac42_pos2",147,64075,19788,71,225,0.00175285882928109,0.496621621621622,0.235956261998736,0.986666666666667
"MURI_33",336,"repeat 2","any_Ac42",186,64075,19788,130,328,0.00221790300847811,0.406113537117904,0.235956261998736,0.684981684981685
"MURI_97",3,"repeat 3","Nt_Ac42_pos12",79,71225,24246,135,133,0.000827476406448031,0.294776119402985,0.253961936085303,0.421052631578947
"MURI_97",3,"repeat 3","Nt_Ac42_pos2",79,71225,24246,135,133,0.000827476406448031,0.294776119402985,0.253961936085303,0.421052631578947
"MURI_97",3,"repeat 3","any_Ac42",104,71225,24246,320,337,0.00108933602874171,0.158295281582953,0.253961936085303,0.189530685920578
"MURI_98",4,"repeat 3","Nt_Ac42_pos12",82,70889,26890,132,140,0.000838625880812853,0.301470588235294,0.275007926037288,0.43455497382199
"MURI_98",4,"repeat 3","Nt_Ac42_pos2",82,70889,26890,132,140,0.000838625880812853,0.301470588235294,0.275007926037288,0.43455497382199
"MURI_98",4,"repeat 3","any_Ac42",100,70889,26890,312,319,0.00102271448879616,0.158478605388273,0.275007926037288,0.18984962406015
"MURI_99",5,"repeat 3","Nt_Ac42_pos12",91,72704,18860,95,145,0.000993840373946092,0.379166666666667,0.205976147831025,0.613333333333333
"MURI_99",5,"repeat 3","Nt_Ac42_pos2",91,72704,18860,95,145,0.000993840373946092,0.379166666666667,0.205976147831025,0.613333333333333
"MURI_99",5,"repeat 3","any_Ac42",111,72704,18860,228,298,0.00121226682975842,0.211026615969582,0.205976147831025,0.269230769230769
"MURI_100",6,"repeat 3","Nt_Ac42_pos12",77,85370,23129,106,121,0.000709683960220832,0.33920704845815,0.213172471635683,0.516556291390728
"MURI_100",6,"repeat 3","Nt_Ac42_pos2",77,85370,23129,106,121,0.000709683960220832,0.33920704845815,0.213172471635683,0.516556291390728
"MURI_100",6,"repeat 3","any_Ac42",105,85370,23129,255,252,0.000967750854846588,0.207100591715976,0.213172471635683,0.26302729528536
"MURI_101",8,"repeat 3","Nt_Ac42_pos12",90,82043,28475,106,151,0.000814346984201668,0.350194552529183,0.257650337501583,0.541666666666667
"MURI_101",8,"repeat 3","Nt_Ac42_pos2",90,82043,28475,106,151,0.000814346984201668,0.350194552529183,0.257650337501583,0.541666666666667
"MURI_101",8,"repeat 3","any_Ac42",133,82043,28475,267,327,0.00120342387665358,0.223905723905724,0.257650337501583,0.29004329004329
"MURI_102",24,"repeat 3","Nt_Ac42_pos12",121,78381,31872,103,193,0.00109747580564701,0.408783783783784,0.289080569236211,0.693181818181818
"MURI_102",24,"repeat 3","Nt_Ac42_pos2",121,78381,31872,103,193,0.00109747580564701,0.408783783783784,0.289080569236211,0.693181818181818
"MURI_102",24,"repeat 3","any_Ac42",160,78381,31872,268,360,0.00145120767688861,0.254777070063694,0.289080569236211,0.343283582089552
"MURI_103",48,"repeat 3","Nt_Ac42_pos12",120,71308,22447,73,171,0.00127993173697403,0.491803278688525,0.2394218974988,0.968
"MURI_103",48,"repeat 3","Nt_Ac42_pos2",120,71308,22447,73,171,0.00127993173697403,0.491803278688525,0.2394218974988,0.968
"MURI_103",48,"repeat 3","any_Ac42",163,71308,22447,103,242,0.00173857394272305,0.472463768115942,0.2394218974988,0.896174863387978
"MURI_104",168,"repeat 3","Nt_Ac42_pos12",143,75430,27305,130,222,0.00139193069547866,0.40625,0.265780892587726,0.685714285714286
"MURI_104",168,"repeat 3","Nt_Ac42_pos2",143,75430,27305,130,222,0.00139193069547866,0.40625,0.265780892587726,0.685714285714286
