"sample","time","biol.rep","Protein","Oxidized_Peptides","Non_Oxidized_Peptides"
"MURI_18",5,"repeat 1","gi|254164177",0,4
"MURI_18",5,"repeat 1","gi|254164179",0,7
"MURI_18",5,"repeat 1","gi|254164180",0,2
"MURI_18",5,"repeat 1","gi|254164181",0,0
"MURI_18",5,"repeat 1","gi|254164183",0,24
"MURI_18",5,"repeat 1","gi|254164184",0,6
"MURI_18",5,"repeat 1","gi|254164185",0,24
"MURI_18",5,"repeat 1","gi|254164186",0,1
"MURI_18",5,"repeat 1","gi|254164187",0,0
"MURI_18",5,"repeat 1","gi|254164188",0,4
"MURI_18",5,"repeat 1","gi|254164200",0,0
"MURI_18",5,"repeat 1","gi|254164204",0,0
"MURI_18",5,"repeat 1","gi|254164208",0,4
"MURI_18",5,"repeat 1","gi|254164211",0,2
"MURI_18",5,"repeat 1","gi|254164212",6,44
"MURI_18",5,"repeat 1","gi|254164243",0,0
"MURI_18",5,"repeat 1","gi|254164249",0,5
"MURI_18",5,"repeat 1","gi|254164260",17,5
"MURI_18",5,"repeat 1","gi|254164265",0,4
"MURI_18",5,"repeat 1","gi|254164266",0,18
"MURI_18",5,"repeat 1","gi|254164267",0,0
"MURI_18",5,"repeat 1","gi|254164268",0,3
"MURI_18",5,"repeat 1","gi|254164269",0,2
"MURI_18",5,"repeat 1","gi|254164286",0,4
"MURI_18",5,"repeat 1","gi|254164287",0,3
"MURI_18",5,"repeat 1","gi|254164289",0,0
"MURI_18",5,"repeat 1","gi|254164294",0,0
"MURI_18",5,"repeat 1","gi|254164296",0,14
"MURI_18",5,"repeat 1","gi|254164298",0,0
"MURI_18",5,"repeat 1","gi|254164299",0,0
"MURI_18",5,"repeat 1","gi|254164300",0,3
"MURI_18",5,"repeat 1","gi|254164301",0,3
"MURI_18",5,"repeat 1","gi|254164303",0,0
"MURI_18",5,"repeat 1","gi|254164307",0,1
"MURI_18",5,"repeat 1","gi|254164308",0,1
"MURI_18",5,"repeat 1","gi|254164309",0,8
"MURI_18",5,"repeat 1","gi|254164310",3,2
"MURI_18",5,"repeat 1","gi|254164312",0,2
"MURI_18",5,"repeat 1","gi|254164313",0,5
"MURI_18",5,"repeat 1","gi|254164314",0,3
"MURI_18",5,"repeat 1","gi|254164315",0,5
"MURI_18",5,"repeat 1","gi|254164316",0,1
"MURI_18",5,"repeat 1","gi|254164317",0,10
"MURI_18",5,"repeat 1","gi|254164318",0,0
"MURI_18",5,"repeat 1","gi|254164319",0,0
"MURI_18",5,"repeat 1","gi|254164321",0,5
"MURI_18",5,"repeat 1","gi|254164322",0,0
"MURI_18",5,"repeat 1","gi|254164323",0,0
"MURI_18",5,"repeat 1","gi|254164326",0,5
"MURI_19",6,"repeat 1","gi|254160125",1,51
"MURI_19",6,"repeat 1","gi|254160126",0,9
"MURI_19",6,"repeat 1","gi|254160127",118,41
"MURI_19",6,"repeat 1","gi|254160129",0,5
"MURI_19",6,"repeat 1","gi|254160131",8,24
"MURI_19",6,"repeat 1","gi|254160132",0,0
"MURI_19",6,"repeat 1","gi|254160135",35,226
"MURI_19",6,"repeat 1","gi|254160136",4,22
"MURI_19",6,"repeat 1","gi|254160144",0,1
"MURI_19",6,"repeat 1","gi|254160149",0,13
"MURI_19",6,"repeat 1","gi|254160151",0,3
"MURI_19",6,"repeat 1","gi|254160152",0,27
"MURI_19",6,"repeat 1","gi|254160154",0,0
"MURI_19",6,"repeat 1","gi|254160155",0,1
"MURI_19",6,"repeat 1","gi|254160157",4,11
"MURI_19",6,"repeat 1","gi|254160158",0,31
"MURI_19",6,"repeat 1","gi|254160159",11,51
"MURI_19",6,"repeat 1","gi|254160163",0,1
"MURI_19",6,"repeat 1","gi|254160173",0,2
"MURI_19",6,"repeat 1","gi|254160174",0,1
"MURI_19",6,"repeat 1","gi|254160176",0,3
"MURI_19",6,"repeat 1","gi|254160177",0,2
"MURI_19",6,"repeat 1","gi|254160178",10,12
"MURI_19",6,"repeat 1","gi|254160179",8,19
"MURI_19",6,"repeat 1","gi|254160180",0,4
"MURI_19",6,"repeat 1","gi|254160181",0,1
"MURI_19",6,"repeat 1","gi|254160182",0,3
"MURI_19",6,"repeat 1","gi|254160194",15,40
"MURI_19",6,"repeat 1","gi|254160195",120,30
"MURI_19",6,"repeat 1","gi|254160196",30,143
"MURI_19",6,"repeat 1","gi|254160197",11,73
"MURI_19",6,"repeat 1","gi|254160200",3,15
"MURI_19",6,"repeat 1","gi|254160201",0,1
"MURI_19",6,"repeat 1","gi|254160202",0,5
"MURI_19",6,"repeat 1","gi|254160203",0,0
"MURI_19",6,"repeat 1","gi|254160204",0,1
"MURI_19",6,"repeat 1","gi|254160205",1,0
"MURI_19",6,"repeat 1","gi|254160206",0,3
"MURI_19",6,"repeat 1","gi|254160207",0,3
"MURI_19",6,"repeat 1","gi|254160208",0,0
"MURI_19",6,"repeat 1","gi|254160209",0,0
"MURI_19",6,"repeat 1","gi|254160210",0,6
"MURI_19",6,"repeat 1","gi|254160211",0,1
"MURI_19",6,"repeat 1","gi|254160212",0,5
"MURI_19",6,"repeat 1","gi|254160213",0,2
"MURI_19",6,"repeat 1","gi|254160214",0,5
"MURI_19",6,"repeat 1","gi|254160215",0,0
"MURI_19",6,"repeat 1","gi|254160216",0,6
"MURI_19",6,"repeat 1","gi|254160217",4,44
"MURI_19",6,"repeat 1","gi|254160218",0,1
"MURI_19",6,"repeat 1","gi|254160220",0,20
"MURI_19",6,"repeat 1","gi|254160222",3,4
"MURI_19",6,"repeat 1","gi|254160223",0,1
"MURI_19",6,"repeat 1","gi|254160225",2,8
"MURI_19",6,"repeat 1","gi|254160229",0,1
"MURI_19",6,"repeat 1","gi|254160230",0,0
"MURI_19",6,"repeat 1","gi|254160232",0,1
"MURI_19",6,"repeat 1","gi|254160233",0,0
"MURI_19",6,"repeat 1","gi|254160234",22,88
"MURI_19",6,"repeat 1","gi|254160235",5,33
"MURI_19",6,"repeat 1","gi|254160236",23,20
"MURI_19",6,"repeat 1","gi|254160238",4,36
"MURI_19",6,"repeat 1","gi|254160240",4,30
"MURI_19",6,"repeat 1","gi|254160241",0,10
"MURI_19",6,"repeat 1","gi|254160242",0,0
"MURI_19",6,"repeat 1","gi|254160243",0,2
"MURI_19",6,"repeat 1","gi|254160244",0,9
"MURI_19",6,"repeat 1","gi|254160245",0,2
"MURI_19",6,"repeat 1","gi|254160246",11,15
"MURI_19",6,"repeat 1","gi|254160247",0,0
"MURI_19",6,"repeat 1","gi|254160251",14,6
"MURI_19",6,"repeat 1","gi|254160253",4,9
"MURI_19",6,"repeat 1","gi|254160254",0,3
"MURI_19",6,"repeat 1","gi|254160263",0,3
"MURI_19",6,"repeat 1","gi|254160264",0,1
"MURI_19",6,"repeat 1","gi|254160265",18,17
"MURI_19",6,"repeat 1","gi|254160266",0,3
"MURI_19",6,"repeat 1","gi|254160267",0,1
"MURI_19",6,"repeat 1","gi|254160268",0,1
"MURI_19",6,"repeat 1","gi|254160269",0,4
"MURI_19",6,"repeat 1","gi|254160270",6,39
"MURI_19",6,"repeat 1","gi|254160271",0,5
"MURI_19",6,"repeat 1","gi|254160274",8,4
"MURI_19",6,"repeat 1","gi|254160276",0,8
"MURI_19",6,"repeat 1","gi|254160278",0,2
"MURI_19",6,"repeat 1","gi|254160279",0,14
"MURI_19",6,"repeat 1","gi|254160281",21,65
"MURI_19",6,"repeat 1","gi|254160283",0,4
"MURI_19",6,"repeat 1","gi|254160285",9,48
"MURI_19",6,"repeat 1","gi|254160287",0,10
"MURI_19",6,"repeat 1","gi|254160288",16,44
"MURI_19",6,"repeat 1","gi|254160289",27,157
"MURI_19",6,"repeat 1","gi|254160290",0,6
"MURI_19",6,"repeat 1","gi|254160291",7,12
"MURI_19",6,"repeat 1","gi|254160292",0,0
"MURI_19",6,"repeat 1","gi|254160295",0,5
"MURI_19",6,"repeat 1","gi|254160296",11,24
"MURI_19",6,"repeat 1","gi|254160297",16,33
"MURI_19",6,"repeat 1","gi|254160298",0,10
"MURI_19",6,"repeat 1","gi|254160299",4,7
"MURI_19",6,"repeat 1","gi|254160300",0,8
"MURI_19",6,"repeat 1","gi|254160301",0,3
"MURI_19",6,"repeat 1","gi|254160302",0,0
"MURI_19",6,"repeat 1","gi|254160303",0,5
"MURI_19",6,"repeat 1","gi|254160304",3,48
"MURI_19",6,"repeat 1","gi|254160306",0,1
"MURI_19",6,"repeat 1","gi|254160307",0,2
"MURI_19",6,"repeat 1","gi|254160308",0,0
"MURI_19",6,"repeat 1","gi|254160309",0,0
"MURI_19",6,"repeat 1","gi|254160314",12,14
"MURI_19",6,"repeat 1","gi|254160315",0,0
"MURI_19",6,"repeat 1","gi|254160316",0,5
"MURI_19",6,"repeat 1","gi|254160317",0,90
"MURI_19",6,"repeat 1","gi|254160318",0,5
"MURI_19",6,"repeat 1","gi|254160319",0,21
"MURI_19",6,"repeat 1","gi|254160320",0,0
"MURI_19",6,"repeat 1","gi|254160321",0,0
"MURI_19",6,"repeat 1","gi|254160322",0,0
"MURI_19",6,"repeat 1","gi|254160325",0,1
"MURI_19",6,"repeat 1","gi|254160326",0,7
"MURI_19",6,"repeat 1","gi|254160328",0,0
"MURI_19",6,"repeat 1","gi|254160336",0,2
"MURI_19",6,"repeat 1","gi|254160338",0,15
"MURI_19",6,"repeat 1","gi|254160339",0,1
"MURI_19",6,"repeat 1","gi|254160340",0,0
"MURI_19",6,"repeat 1","gi|254160351",1,17
"MURI_19",6,"repeat 1","gi|254160352",0,0
"MURI_19",6,"repeat 1","gi|254160353",0,0
"MURI_19",6,"repeat 1","gi|254160354",0,0
"MURI_19",6,"repeat 1","gi|254160358",5,4
"MURI_19",6,"repeat 1","gi|254160359",0,15
"MURI_19",6,"repeat 1","gi|254160365",0,0
"MURI_19",6,"repeat 1","gi|254160366",0,0
"MURI_19",6,"repeat 1","gi|254160382",0,1
"MURI_19",6,"repeat 1","gi|254160386",0,4
"MURI_19",6,"repeat 1","gi|254160387",0,0
"MURI_19",6,"repeat 1","gi|254160388",0,1
"MURI_19",6,"repeat 1","gi|254160399",0,4
"MURI_19",6,"repeat 1","gi|254160403",0,0
"MURI_19",6,"repeat 1","gi|254160410",1,5
"MURI_19",6,"repeat 1","gi|254160427",0,0
"MURI_19",6,"repeat 1","gi|254160429",0,3
"MURI_19",6,"repeat 1","gi|254160430",0,0
"MURI_19",6,"repeat 1","gi|254160434",0,6
"MURI_19",6,"repeat 1","gi|254160437",0,0
"MURI_19",6,"repeat 1","gi|254160438",0,2
"MURI_19",6,"repeat 1","gi|254160442",0,4
"MURI_19",6,"repeat 1","gi|254160444",0,0
"MURI_19",6,"repeat 1","gi|254160447",0,1
"MURI_19",6,"repeat 1","gi|254160448",0,1
"MURI_19",6,"repeat 1","gi|254160449",0,1
"MURI_19",6,"repeat 1","gi|254160452",0,9
"MURI_19",6,"repeat 1","gi|254160454",0,1
"MURI_19",6,"repeat 1","gi|254160461",0,0
"MURI_19",6,"repeat 1","gi|254160462",0,4
"MURI_19",6,"repeat 1","gi|254160464",0,1
"MURI_19",6,"repeat 1","gi|254160466",0,1
"MURI_19",6,"repeat 1","gi|254160470",0,1
"MURI_19",6,"repeat 1","gi|254160471",0,1
"MURI_19",6,"repeat 1","gi|254160472",0,6
"MURI_19",6,"repeat 1","gi|254160473",4,17
"MURI_19",6,"repeat 1","gi|254160474",0,2
"MURI_19",6,"repeat 1","gi|254160475",1,8
"MURI_19",6,"repeat 1","gi|254160476",0,1
"MURI_19",6,"repeat 1","gi|254160479",0,1
"MURI_19",6,"repeat 1","gi|254160480",0,3
"MURI_19",6,"repeat 1","gi|254160481",4,13
"MURI_19",6,"repeat 1","gi|254160482",0,0
"MURI_19",6,"repeat 1","gi|254160486",1,1
"MURI_19",6,"repeat 1","gi|254160487",0,2
"MURI_19",6,"repeat 1","gi|254160488",0,0
"MURI_19",6,"repeat 1","gi|254160489",0,7
"MURI_19",6,"repeat 1","gi|254160490",0,0
"MURI_19",6,"repeat 1","gi|254160492",2,21
"MURI_19",6,"repeat 1","gi|254160495",0,0
"MURI_19",6,"repeat 1","gi|254160500",0,0
"MURI_19",6,"repeat 1","gi|254160501",21,12
"MURI_19",6,"repeat 1","gi|254160503",3,8
"MURI_19",6,"repeat 1","gi|254160504",0,0
"MURI_19",6,"repeat 1","gi|254160505",102,168
"MURI_19",6,"repeat 1","gi|254160506",16,19
"MURI_19",6,"repeat 1","gi|254160507",6,9
"MURI_19",6,"repeat 1","gi|254160510",0,1
"MURI_19",6,"repeat 1","gi|254160511",2,26
"MURI_19",6,"repeat 1","gi|254160514",0,2
"MURI_19",6,"repeat 1","gi|254160518",0,0
"MURI_19",6,"repeat 1","gi|254160522",0,0
"MURI_19",6,"repeat 1","gi|254160529",0,3
"MURI_19",6,"repeat 1","gi|254160531",0,0
"MURI_19",6,"repeat 1","gi|254160532",0,13
"MURI_19",6,"repeat 1","gi|254160534",0,9
"MURI_19",6,"repeat 1","gi|254160538",0,3
"MURI_19",6,"repeat 1","gi|254160539",0,2
"MURI_19",6,"repeat 1","gi|254160540",25,42
"MURI_19",6,"repeat 1","gi|254160541",0,2
"MURI_19",6,"repeat 1","gi|254160542",4,29
"MURI_19",6,"repeat 1","gi|254160543",8,10
"MURI_19",6,"repeat 1","gi|254160544",0,1
"MURI_19",6,"repeat 1","gi|254160546",0,10
"MURI_19",6,"repeat 1","gi|254160549",0,1
"MURI_19",6,"repeat 1","gi|254160550",0,14
"MURI_19",6,"repeat 1","gi|254160552",0,0
"MURI_19",6,"repeat 1","gi|254160553",0,16
"MURI_19",6,"repeat 1","gi|254160556",0,5
"MURI_19",6,"repeat 1","gi|254160558",0,1
"MURI_19",6,"repeat 1","gi|254160561",0,10
"MURI_19",6,"repeat 1","gi|254160562",0,1
"MURI_19",6,"repeat 1","gi|254160563",0,0
"MURI_19",6,"repeat 1","gi|254160571",0,4
"MURI_19",6,"repeat 1","gi|254160574",0,0
"MURI_19",6,"repeat 1","gi|254160583",0,0
"MURI_19",6,"repeat 1","gi|254160589",0,3
"MURI_19",6,"repeat 1","gi|254160590",0,9
"MURI_19",6,"repeat 1","gi|254160591",2,14
"MURI_19",6,"repeat 1","gi|254160593",9,17
"MURI_19",6,"repeat 1","gi|254160594",0,5
"MURI_19",6,"repeat 1","gi|254160597",0,0
"MURI_19",6,"repeat 1","gi|254160625",0,15
"MURI_19",6,"repeat 1","gi|254160626",0,1
"MURI_19",6,"repeat 1","gi|254160629",0,1
"MURI_19",6,"repeat 1","gi|254160635",0,34
"MURI_19",6,"repeat 1","gi|254160636",0,1
"MURI_19",6,"repeat 1","gi|254160638",0,1
"MURI_19",6,"repeat 1","gi|254160648",0,5
"MURI_19",6,"repeat 1","gi|254160649",0,1
"MURI_19",6,"repeat 1","gi|254160650",0,3
"MURI_19",6,"repeat 1","gi|254160651",0,2
"MURI_19",6,"repeat 1","gi|254160654",0,1
"MURI_19",6,"repeat 1","gi|254160664",17,116
"MURI_19",6,"repeat 1","gi|254160665",0,0
"MURI_19",6,"repeat 1","gi|254160666",0,0
"MURI_19",6,"repeat 1","gi|254160667",0,8
"MURI_19",6,"repeat 1","gi|254160669",0,4
"MURI_19",6,"repeat 1","gi|254160674",0,3
"MURI_19",6,"repeat 1","gi|254160675",0,8
"MURI_19",6,"repeat 1","gi|254160676",0,0
"MURI_19",6,"repeat 1","gi|254160678",0,0
"MURI_19",6,"repeat 1","gi|254160680",0,1
"MURI_19",6,"repeat 1","gi|254160681",0,2
"MURI_19",6,"repeat 1","gi|254160686",0,0
"MURI_19",6,"repeat 1","gi|254160687",77,41
"MURI_19",6,"repeat 1","gi|254160688",0,6
"MURI_19",6,"repeat 1","gi|254160689",0,1
"MURI_19",6,"repeat 1","gi|254160691",0,13
"MURI_19",6,"repeat 1","gi|254160692",0,0
"MURI_19",6,"repeat 1","gi|254160696",0,2
"MURI_19",6,"repeat 1","gi|254160705",0,1
"MURI_19",6,"repeat 1","gi|254160706",0,4
"MURI_19",6,"repeat 1","gi|254160709",0,0
"MURI_19",6,"repeat 1","gi|254160710",0,4
"MURI_19",6,"repeat 1","gi|254160712",0,0
"MURI_19",6,"repeat 1","gi|254160713",4,5
"MURI_19",6,"repeat 1","gi|254160714",0,11
"MURI_19",6,"repeat 1","gi|254160715",0,4
"MURI_19",6,"repeat 1","gi|254160717",0,1
"MURI_19",6,"repeat 1","gi|254160718",0,0
"MURI_19",6,"repeat 1","gi|254160719",9,3
"MURI_19",6,"repeat 1","gi|254160720",0,2
"MURI_19",6,"repeat 1","gi|254160722",0,0
"MURI_19",6,"repeat 1","gi|254160723",4,1
"MURI_19",6,"repeat 1","gi|254160724",0,32
"MURI_19",6,"repeat 1","gi|254160725",0,3
"MURI_19",6,"repeat 1","gi|254160729",0,1
"MURI_19",6,"repeat 1","gi|254160734",22,18
"MURI_19",6,"repeat 1","gi|254160736",0,1
"MURI_19",6,"repeat 1","gi|254160738",0,1
"MURI_19",6,"repeat 1","gi|254160739",2,10
"MURI_19",6,"repeat 1","gi|254160740",0,12
"MURI_19",6,"repeat 1","gi|254160741",0,0
"MURI_19",6,"repeat 1","gi|254160742",0,17
"MURI_19",6,"repeat 1","gi|254160743",0,7
"MURI_19",6,"repeat 1","gi|254160744",0,6
"MURI_19",6,"repeat 1","gi|254160745",0,7
"MURI_19",6,"repeat 1","gi|254160746",0,4
"MURI_19",6,"repeat 1","gi|254160747",0,9
"MURI_19",6,"repeat 1","gi|254160748",0,10
"MURI_19",6,"repeat 1","gi|254160751",1,3
"MURI_19",6,"repeat 1","gi|254160752",0,18
"MURI_19",6,"repeat 1","gi|254160753",0,1
"MURI_19",6,"repeat 1","gi|254160754",0,3
"MURI_19",6,"repeat 1","gi|254160755",1,14
"MURI_19",6,"repeat 1","gi|254160756",2,22
"MURI_19",6,"repeat 1","gi|254160760",0,2
"MURI_19",6,"repeat 1","gi|254160763",0,2
"MURI_19",6,"repeat 1","gi|254160765",0,0
"MURI_19",6,"repeat 1","gi|254160780",0,18
"MURI_19",6,"repeat 1","gi|254160781",0,3
"MURI_19",6,"repeat 1","gi|254160782",0,2
"MURI_19",6,"repeat 1","gi|254160783",0,0
"MURI_19",6,"repeat 1","gi|254160790",3,28
"MURI_19",6,"repeat 1","gi|254160793",54,11
"MURI_19",6,"repeat 1","gi|254160794",0,4
"MURI_19",6,"repeat 1","gi|254160795",1,27
"MURI_19",6,"repeat 1","gi|254160796",0,15
"MURI_19",6,"repeat 1","gi|254160797",8,4
"MURI_19",6,"repeat 1","gi|254160798",62,11
"MURI_19",6,"repeat 1","gi|254160799",0,0
"MURI_19",6,"repeat 1","gi|254160801",0,1
"MURI_19",6,"repeat 1","gi|254160802",0,0
"MURI_19",6,"repeat 1","gi|254160807",0,1
"MURI_19",6,"repeat 1","gi|254160808",0,1
"MURI_19",6,"repeat 1","gi|254160809",0,1
"MURI_19",6,"repeat 1","gi|254160810",11,35
"MURI_19",6,"repeat 1","gi|254160811",4,21
"MURI_19",6,"repeat 1","gi|254160812",0,20
"MURI_19",6,"repeat 1","gi|254160813",0,5
"MURI_19",6,"repeat 1","gi|254160817",33,39
"MURI_19",6,"repeat 1","gi|254160818",7,11
"MURI_19",6,"repeat 1","gi|254160819",6,21
"MURI_19",6,"repeat 1","gi|254160820",0,2
"MURI_19",6,"repeat 1","gi|254160821",0,0
"MURI_19",6,"repeat 1","gi|254160822",0,16
"MURI_19",6,"repeat 1","gi|254160823",0,1
"MURI_19",6,"repeat 1","gi|254160824",0,3
"MURI_19",6,"repeat 1","gi|254160826",0,0
"MURI_19",6,"repeat 1","gi|254160829",0,3
"MURI_19",6,"repeat 1","gi|254160830",0,3
"MURI_19",6,"repeat 1","gi|254160835",0,6
"MURI_19",6,"repeat 1","gi|254160837",0,7
"MURI_19",6,"repeat 1","gi|254160844",0,1
"MURI_19",6,"repeat 1","gi|254160851",0,0
"MURI_19",6,"repeat 1","gi|254160852",1,16
"MURI_19",6,"repeat 1","gi|254160853",0,1
"MURI_19",6,"repeat 1","gi|254160855",2,9
"MURI_19",6,"repeat 1","gi|254160856",0,0
"MURI_19",6,"repeat 1","gi|254160859",0,2
"MURI_19",6,"repeat 1","gi|254160860",0,0
"MURI_19",6,"repeat 1","gi|254160861",0,0
"MURI_19",6,"repeat 1","gi|254160865",0,1
"MURI_19",6,"repeat 1","gi|254160869",0,1
"MURI_19",6,"repeat 1","gi|254160871",0,2
"MURI_19",6,"repeat 1","gi|254160872",0,1
"MURI_19",6,"repeat 1","gi|254160874",0,4
"MURI_19",6,"repeat 1","gi|254160877",0,2
"MURI_19",6,"repeat 1","gi|254160878",1,10
"MURI_19",6,"repeat 1","gi|254160879",0,0
"MURI_19",6,"repeat 1","gi|254160880",0,1
"MURI_19",6,"repeat 1","gi|254160882",0,0
"MURI_19",6,"repeat 1","gi|254160884",0,1
"MURI_19",6,"repeat 1","gi|254160885",0,1
"MURI_19",6,"repeat 1","gi|254160886",0,4
"MURI_19",6,"repeat 1","gi|254160888",4,12
"MURI_19",6,"repeat 1","gi|254160889",0,6
"MURI_19",6,"repeat 1","gi|254160891",4,20
"MURI_19",6,"repeat 1","gi|254160894",0,1
"MURI_19",6,"repeat 1","gi|254160896",0,2
"MURI_19",6,"repeat 1","gi|254160897",3,6
"MURI_19",6,"repeat 1","gi|254160898",0,3
"MURI_19",6,"repeat 1","gi|254160899",0,0
"MURI_19",6,"repeat 1","gi|254160900",0,1
"MURI_19",6,"repeat 1","gi|254160904",0,5
"MURI_19",6,"repeat 1","gi|254160905",0,0
"MURI_19",6,"repeat 1","gi|254160906",0,1
"MURI_19",6,"repeat 1","gi|254160907",0,9
"MURI_19",6,"repeat 1","gi|254160910",0,1
"MURI_19",6,"repeat 1","gi|254160912",0,2
"MURI_19",6,"repeat 1","gi|254160915",0,0
"MURI_19",6,"repeat 1","gi|254160916",0,16
"MURI_19",6,"repeat 1","gi|254160917",0,2
"MURI_19",6,"repeat 1","gi|254160935",0,3
"MURI_19",6,"repeat 1","gi|254160940",0,2
"MURI_19",6,"repeat 1","gi|254160949",0,1
"MURI_19",6,"repeat 1","gi|254160956",0,0
"MURI_19",6,"repeat 1","gi|254160964",0,0
"MURI_19",6,"repeat 1","gi|254160966",0,16
"MURI_19",6,"repeat 1","gi|254160968",0,0
"MURI_19",6,"repeat 1","gi|254160969",0,17
"MURI_19",6,"repeat 1","gi|254160970",0,3
"MURI_19",6,"repeat 1","gi|254160972",0,1
"MURI_19",6,"repeat 1","gi|254160974",0,1
"MURI_19",6,"repeat 1","gi|254160975",13,32
"MURI_19",6,"repeat 1","gi|254160977",0,1
"MURI_19",6,"repeat 1","gi|254160978",4,10
"MURI_19",6,"repeat 1","gi|254160979",0,8
"MURI_19",6,"repeat 1","gi|254160980",0,3
"MURI_19",6,"repeat 1","gi|254160981",0,2
"MURI_19",6,"repeat 1","gi|254160982",0,0
"MURI_19",6,"repeat 1","gi|254160983",0,1
"MURI_19",6,"repeat 1","gi|254160985",0,8
"MURI_19",6,"repeat 1","gi|254160991",0,2
"MURI_19",6,"repeat 1","gi|254160992",0,5
"MURI_19",6,"repeat 1","gi|254160993",0,1
"MURI_19",6,"repeat 1","gi|254160994",0,3
"MURI_19",6,"repeat 1","gi|254160995",0,0
"MURI_19",6,"repeat 1","gi|254160996",0,1
"MURI_19",6,"repeat 1","gi|254160998",3,4
"MURI_19",6,"repeat 1","gi|254160999",0,0
"MURI_19",6,"repeat 1","gi|254161000",0,1
"MURI_19",6,"repeat 1","gi|254161001",0,3
"MURI_19",6,"repeat 1","gi|254161002",38,25
"MURI_19",6,"repeat 1","gi|254161003",0,4
"MURI_19",6,"repeat 1","gi|254161004",0,5
"MURI_19",6,"repeat 1","gi|254161005",8,2
"MURI_19",6,"repeat 1","gi|254161006",0,3
"MURI_19",6,"repeat 1","gi|254161007",3,18
"MURI_19",6,"repeat 1","gi|254161016",0,1
"MURI_19",6,"repeat 1","gi|254161017",4,26
"MURI_19",6,"repeat 1","gi|254161019",0,3
"MURI_19",6,"repeat 1","gi|254161021",22,52
"MURI_19",6,"repeat 1","gi|254161022",13,70
"MURI_19",6,"repeat 1","gi|254161024",0,1
"MURI_19",6,"repeat 1","gi|254161025",11,105
"MURI_19",6,"repeat 1","gi|254161026",2,2
"MURI_19",6,"repeat 1","gi|254161028",0,6
"MURI_19",6,"repeat 1","gi|254161031",0,1
"MURI_19",6,"repeat 1","gi|254161032",4,5
"MURI_19",6,"repeat 1","gi|254161035",0,0
"MURI_19",6,"repeat 1","gi|254161036",0,3
"MURI_19",6,"repeat 1","gi|254161037",0,0
"MURI_19",6,"repeat 1","gi|254161038",0,22
"MURI_19",6,"repeat 1","gi|254161041",3,10
"MURI_19",6,"repeat 1","gi|254161042",11,65
"MURI_19",6,"repeat 1","gi|254161043",0,5
"MURI_19",6,"repeat 1","gi|254161044",0,25
"MURI_19",6,"repeat 1","gi|254161045",0,1
"MURI_19",6,"repeat 1","gi|254161046",0,7
"MURI_19",6,"repeat 1","gi|254161052",0,2
"MURI_19",6,"repeat 1","gi|254161059",0,8
"MURI_19",6,"repeat 1","gi|254161061",0,4
"MURI_19",6,"repeat 1","gi|254161062",0,2
"MURI_19",6,"repeat 1","gi|254161063",0,4
"MURI_19",6,"repeat 1","gi|254161064",0,1
"MURI_19",6,"repeat 1","gi|254161065",0,2
"MURI_19",6,"repeat 1","gi|254161066",0,2
"MURI_19",6,"repeat 1","gi|254161068",0,0
"MURI_19",6,"repeat 1","gi|254161069",0,3
"MURI_19",6,"repeat 1","gi|254161070",0,5
"MURI_19",6,"repeat 1","gi|254161071",10,45
"MURI_19",6,"repeat 1","gi|254161076",0,2
"MURI_19",6,"repeat 1","gi|254161077",0,2
"MURI_19",6,"repeat 1","gi|254161079",0,0
"MURI_19",6,"repeat 1","gi|254161081",0,1
"MURI_19",6,"repeat 1","gi|254161086",0,1
"MURI_19",6,"repeat 1","gi|254161093",0,1
"MURI_19",6,"repeat 1","gi|254161097",0,1
"MURI_19",6,"repeat 1","gi|254161102",0,5
"MURI_19",6,"repeat 1","gi|254161104",0,0
"MURI_19",6,"repeat 1","gi|254161113",0,7
"MURI_19",6,"repeat 1","gi|254161115",0,2
"MURI_19",6,"repeat 1","gi|254161116",0,0
"MURI_19",6,"repeat 1","gi|254161117",0,1
"MURI_19",6,"repeat 1","gi|254161127",0,1
"MURI_19",6,"repeat 1","gi|254161130",67,36
"MURI_19",6,"repeat 1","gi|254161131",0,0
"MURI_19",6,"repeat 1","gi|254161140",0,8
"MURI_19",6,"repeat 1","gi|254161141",0,5
"MURI_19",6,"repeat 1","gi|254161142",0,7
"MURI_19",6,"repeat 1","gi|254161152",0,0
"MURI_19",6,"repeat 1","gi|254161155",0,7
"MURI_19",6,"repeat 1","gi|254161156",0,6
"MURI_19",6,"repeat 1","gi|254161160",0,1
"MURI_19",6,"repeat 1","gi|254161161",0,0
"MURI_19",6,"repeat 1","gi|254161162",0,4
"MURI_19",6,"repeat 1","gi|254161165",0,7
"MURI_19",6,"repeat 1","gi|254161167",0,0
"MURI_19",6,"repeat 1","gi|254161168",0,5
"MURI_19",6,"repeat 1","gi|254161169",0,1
"MURI_19",6,"repeat 1","gi|254161170",0,1
"MURI_19",6,"repeat 1","gi|254161172",0,1
"MURI_19",6,"repeat 1","gi|254161173",0,0
"MURI_19",6,"repeat 1","gi|254161176",3,19
"MURI_19",6,"repeat 1","gi|254161177",0,18
"MURI_19",6,"repeat 1","gi|254161178",0,0
"MURI_19",6,"repeat 1","gi|254161179",13,4
"MURI_19",6,"repeat 1","gi|254161180",4,5
"MURI_19",6,"repeat 1","gi|254161181",0,25
"MURI_19",6,"repeat 1","gi|254161182",29,66
