"sample","time","biol.rep","Protein","Oxidized_Peptides","Non_Oxidized_Peptides"
"MURI_16",3,"repeat 1","gi|254160246",7,4
"MURI_16",3,"repeat 1","gi|254160247",0,1
"MURI_16",3,"repeat 1","gi|254160251",7,12
"MURI_16",3,"repeat 1","gi|254160253",0,11
"MURI_16",3,"repeat 1","gi|254160254",0,12
"MURI_16",3,"repeat 1","gi|254160259",0,1
"MURI_16",3,"repeat 1","gi|254160262",0,1
"MURI_16",3,"repeat 1","gi|254160263",0,1
"MURI_16",3,"repeat 1","gi|254160265",7,15
"MURI_16",3,"repeat 1","gi|254160266",0,3
"MURI_16",3,"repeat 1","gi|254160269",0,2
"MURI_16",3,"repeat 1","gi|254160270",0,13
"MURI_16",3,"repeat 1","gi|254160271",0,3
"MURI_16",3,"repeat 1","gi|254160274",2,11
"MURI_16",3,"repeat 1","gi|254160276",0,15
"MURI_16",3,"repeat 1","gi|254160279",0,16
"MURI_16",3,"repeat 1","gi|254160281",1,39
"MURI_16",3,"repeat 1","gi|254160283",0,7
"MURI_16",3,"repeat 1","gi|254160285",2,22
"MURI_16",3,"repeat 1","gi|254160286",0,0
"MURI_16",3,"repeat 1","gi|254160287",0,12
"MURI_16",3,"repeat 1","gi|254160288",17,55
"MURI_16",3,"repeat 1","gi|254160289",13,117
"MURI_16",3,"repeat 1","gi|254160290",0,3
"MURI_16",3,"repeat 1","gi|254160291",6,6
"MURI_16",3,"repeat 1","gi|254160292",0,7
"MURI_16",3,"repeat 1","gi|254160295",0,2
"MURI_16",3,"repeat 1","gi|254160296",4,35
"MURI_16",3,"repeat 1","gi|254160297",0,29
"MURI_16",3,"repeat 1","gi|254160298",0,2
"MURI_16",3,"repeat 1","gi|254160299",0,4
"MURI_16",3,"repeat 1","gi|254160300",0,7
"MURI_16",3,"repeat 1","gi|254160301",0,3
"MURI_16",3,"repeat 1","gi|254160302",0,0
"MURI_16",3,"repeat 1","gi|254160303",0,7
"MURI_16",3,"repeat 1","gi|254160304",0,25
"MURI_16",3,"repeat 1","gi|254160306",0,0
"MURI_16",3,"repeat 1","gi|254160307",0,2
"MURI_16",3,"repeat 1","gi|254160308",0,0
"MURI_16",3,"repeat 1","gi|254160309",0,0
"MURI_16",3,"repeat 1","gi|254160312",0,2
"MURI_16",3,"repeat 1","gi|254160314",28,32
"MURI_16",3,"repeat 1","gi|254160316",0,8
"MURI_16",3,"repeat 1","gi|254160317",0,77
"MURI_16",3,"repeat 1","gi|254160318",0,3
"MURI_16",3,"repeat 1","gi|254160319",0,22
"MURI_16",3,"repeat 1","gi|254160320",0,0
"MURI_16",3,"repeat 1","gi|254160321",0,0
"MURI_16",3,"repeat 1","gi|254160326",0,0
"MURI_16",3,"repeat 1","gi|254160328",0,0
"MURI_16",3,"repeat 1","gi|254160335",0,1
"MURI_16",3,"repeat 1","gi|254160338",5,14
"MURI_16",3,"repeat 1","gi|254160339",0,0
"MURI_16",3,"repeat 1","gi|254160340",0,1
"MURI_16",3,"repeat 1","gi|254160342",0,1
"MURI_16",3,"repeat 1","gi|254160345",0,1
"MURI_16",3,"repeat 1","gi|254160350",0,1
"MURI_16",3,"repeat 1","gi|254160351",4,14
"MURI_16",3,"repeat 1","gi|254160352",0,2
"MURI_16",3,"repeat 1","gi|254160353",0,1
"MURI_16",3,"repeat 1","gi|254160354",0,0
"MURI_16",3,"repeat 1","gi|254160358",0,11
"MURI_16",3,"repeat 1","gi|254160359",0,32
"MURI_16",3,"repeat 1","gi|254160365",0,4
"MURI_16",3,"repeat 1","gi|254160375",0,1
"MURI_16",3,"repeat 1","gi|254160386",0,2
"MURI_16",3,"repeat 1","gi|254160387",0,0
"MURI_16",3,"repeat 1","gi|254160398",0,2
"MURI_16",3,"repeat 1","gi|254160399",0,7
"MURI_16",3,"repeat 1","gi|254160403",0,5
"MURI_16",3,"repeat 1","gi|254160404",0,2
"MURI_16",3,"repeat 1","gi|254160410",0,1
"MURI_16",3,"repeat 1","gi|254160417",0,4
"MURI_16",3,"repeat 1","gi|254160427",0,1
"MURI_16",3,"repeat 1","gi|254160429",0,2
"MURI_16",3,"repeat 1","gi|254160430",0,5
"MURI_16",3,"repeat 1","gi|254160434",0,0
"MURI_16",3,"repeat 1","gi|254160437",0,3
"MURI_16",3,"repeat 1","gi|254160438",0,8
"MURI_16",3,"repeat 1","gi|254160442",0,0
"MURI_16",3,"repeat 1","gi|254160447",0,0
"MURI_16",3,"repeat 1","gi|254160448",0,2
"MURI_16",3,"repeat 1","gi|254160452",0,9
"MURI_16",3,"repeat 1","gi|254160453",0,0
"MURI_16",3,"repeat 1","gi|254160454",0,1
"MURI_16",3,"repeat 1","gi|254160461",0,2
"MURI_16",3,"repeat 1","gi|254160462",0,1
"MURI_16",3,"repeat 1","gi|254160464",0,3
"MURI_16",3,"repeat 1","gi|254160465",0,0
"MURI_16",3,"repeat 1","gi|254160466",0,0
"MURI_16",3,"repeat 1","gi|254160467",0,3
"MURI_16",3,"repeat 1","gi|254160470",0,0
"MURI_16",3,"repeat 1","gi|254160471",0,4
"MURI_16",3,"repeat 1","gi|254160472",0,7
"MURI_16",3,"repeat 1","gi|254160473",4,25
"MURI_16",3,"repeat 1","gi|254160474",0,3
"MURI_16",3,"repeat 1","gi|254160475",0,6
"MURI_16",3,"repeat 1","gi|254160476",0,1
"MURI_16",3,"repeat 1","gi|254160479",0,1
"MURI_16",3,"repeat 1","gi|254160480",0,1
"MURI_16",3,"repeat 1","gi|254160481",6,19
"MURI_16",3,"repeat 1","gi|254160482",0,1
"MURI_16",3,"repeat 1","gi|254160486",0,5
"MURI_16",3,"repeat 1","gi|254160487",0,6
"MURI_16",3,"repeat 1","gi|254160488",0,4
"MURI_16",3,"repeat 1","gi|254160489",0,2
"MURI_16",3,"repeat 1","gi|254160490",0,3
"MURI_16",3,"repeat 1","gi|254160491",0,0
"MURI_16",3,"repeat 1","gi|254160492",0,4
"MURI_16",3,"repeat 1","gi|254160500",0,0
"MURI_16",3,"repeat 1","gi|254160501",12,11
"MURI_16",3,"repeat 1","gi|254160503",0,7
"MURI_16",3,"repeat 1","gi|254160504",0,0
"MURI_16",3,"repeat 1","gi|254160505",35,93
"MURI_16",3,"repeat 1","gi|254160506",7,3
"MURI_16",3,"repeat 1","gi|254160507",0,14
"MURI_16",3,"repeat 1","gi|254160510",0,17
"MURI_16",3,"repeat 1","gi|254160511",0,24
"MURI_16",3,"repeat 1","gi|254160514",0,7
"MURI_16",3,"repeat 1","gi|254160519",0,0
"MURI_16",3,"repeat 1","gi|254160520",0,0
"MURI_16",3,"repeat 1","gi|254160522",0,0
"MURI_16",3,"repeat 1","gi|254160523",0,1
"MURI_16",3,"repeat 1","gi|254160528",0,0
"MURI_16",3,"repeat 1","gi|254160529",0,2
"MURI_16",3,"repeat 1","gi|254160531",0,6
"MURI_16",3,"repeat 1","gi|254160532",0,19
"MURI_16",3,"repeat 1","gi|254160534",0,14
"MURI_16",3,"repeat 1","gi|254160536",0,0
"MURI_16",3,"repeat 1","gi|254160538",0,3
"MURI_16",3,"repeat 1","gi|254160539",0,0
"MURI_16",3,"repeat 1","gi|254160540",9,19
"MURI_16",3,"repeat 1","gi|254160541",0,11
"MURI_16",3,"repeat 1","gi|254160542",0,27
"MURI_16",3,"repeat 1","gi|254160543",1,10
"MURI_16",3,"repeat 1","gi|254160544",0,0
"MURI_16",3,"repeat 1","gi|254160546",0,13
"MURI_16",3,"repeat 1","gi|254160549",0,3
"MURI_16",3,"repeat 1","gi|254160550",0,10
"MURI_16",3,"repeat 1","gi|254160552",0,0
